City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,2021-04-18 15:50:01,41.3712,-73.414,57.99,47,20,9.22,few clouds
1,Vila Velha,BR,2021-04-18 15:50:02,-20.3297,-40.2925,86.0,54,20,12.66,few clouds
2,Lanxi,CN,2021-04-18 15:50:02,29.2195,119.477,59.61,72,100,3.58,overcast clouds
3,West Lafayette,US,2021-04-18 15:46:58,40.4259,-86.9081,57.99,41,1,1.81,clear sky
4,Butaritari,KI,2021-04-18 15:50:03,3.0707,172.7902,82.31,77,93,12.33,overcast clouds
5,Bluff,NZ,2021-04-18 15:50:04,-46.6,168.3333,55.0,87,83,11.99,broken clouds
6,Kankon,IN,2021-04-18 15:50:04,15.0167,74.0167,86.0,74,40,5.75,scattered clouds
7,Katsuura,JP,2021-04-18 15:50:04,35.1333,140.3,55.4,58,20,6.91,few clouds
8,Nouadhibou,MR,2021-04-18 15:50:05,20.931,-17.0347,78.8,53,28,17.27,scattered clouds
9,Poum,NC,2021-04-18 15:50:05,-20.2333,164.0167,77.09,77,51,7.47,broken clouds
10,Norman Wells,CA,2021-04-18 15:50:05,65.282,-126.8329,26.6,86,20,0.92,few clouds
11,Kruisfontein,ZA,2021-04-18 15:50:06,-34.0033,24.7314,75.0,36,0,1.01,clear sky
12,Zheleznogorsk,RU,2021-04-18 15:50:06,52.331,35.3711,43.66,82,100,6.91,light rain
13,Atuona,PF,2021-04-18 15:50:06,-9.8,-139.0333,80.29,73,95,16.89,light rain
14,Puerto Escondido,MX,2021-04-18 15:50:06,15.85,-97.0667,82.4,89,1,4.61,clear sky
15,Longyearbyen,SJ,2021-04-18 15:50:07,78.2186,15.6401,30.2,80,75,19.57,light snow
16,Oussouye,SN,2021-04-18 15:50:07,12.485,-16.5469,104.0,54,0,9.22,clear sky
17,Nanakuli,US,2021-04-18 15:50:07,21.3906,-158.1547,68.0,77,1,4.61,clear sky
18,Saint-Philippe,RE,2021-04-18 15:50:08,-21.3585,55.7679,77.0,69,90,11.5,overcast clouds
19,Mazamari,PE,2021-04-18 15:50:08,-11.3258,-74.5308,85.15,58,91,3.13,overcast clouds
20,Albany,US,2021-04-18 15:50:08,42.6001,-73.9662,54.0,54,74,1.99,broken clouds
21,Kpandae,GH,2021-04-18 15:50:08,8.4689,-0.0113,96.69,34,100,3.89,overcast clouds
