City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vila Velha,BR,86.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
4,Butaritari,KI,82.31,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
6,Kankon,IN,86.0,scattered clouds,15.0167,74.0167,Palolem Beach Resort
8,Nouadhibou,MR,78.8,scattered clouds,20.930999999999997,-17.0347,El Medina
9,Poum,NC,77.09,broken clouds,-20.2333,164.0167,Gîte kajeon
11,Kruisfontein,ZA,75.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
13,Atuona,PF,80.29,light rain,-9.8,-139.0333,Villa Enata
14,Puerto Escondido,MX,82.4,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
16,Oussouye,SN,104.0,clear sky,12.485,-16.5469,Auberge du Routard
17,Nanakuli,US,68.0,clear sky,21.3906,-158.1547,Camp Pālehua
18,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Mazamari,PE,85.15,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
21,Kpandae,GH,96.69,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
25,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
26,Vanimo,PG,76.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
27,Conde,BR,77.0,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
30,Rikitea,PF,76.75,clear sky,-23.1203,-134.9692,Pension Maro'i
31,Bilma,NE,104.2,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
32,Cape Town,ZA,81.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
35,Kapaa,US,69.8,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Puerto Ayora,EC,78.8,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Chaman,PK,71.71,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
39,Bengkulu,ID,75.25,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
44,Vaini,TO,69.8,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Dingle,PH,77.56,light rain,10.9995,122.6711,SEGAYA PROPERTY
46,Bredasdorp,ZA,80.6,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
47,Russell,US,68.0,clear sky,32.3502,-85.1999,Macs
48,Kavaratti,IN,84.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
49,Muros,ES,68.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
50,Salalah,OM,84.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
56,Hobyo,SO,83.82,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
60,Ribeira Grande,PT,66.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
63,Labuhan,ID,78.22,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
64,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
65,Castro,BR,67.12,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
72,Acari,PE,80.49,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
73,Mareeba,AU,75.2,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
76,Gidam,IN,85.05,scattered clouds,18.9833,81.4,Dhanshree Lodge And DormItory
78,Lethem,GY,86.0,scattered clouds,3.3803,-59.7968,Savannah Inn
79,Mount Isa,AU,69.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
81,Bambanglipuro,ID,76.28,scattered clouds,-7.95,110.2833,Puri Brata
84,Morondava,MG,78.13,scattered clouds,-20.2833,44.2833,La Case Bambou
89,Kieta,PG,78.84,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
